,BRAND,PRICE,GPU,OPERATING_SYSTEM,TOUCHSCREEN,BLUETOOTH,HARD_DRIVE,SSD_CAPACITY,DISPLAY,WEBCAM(BUILT-IN),COLOR
394,other,84.9,other,unknown,NO,NO,256,240,NO,NO,other
395,other,721.0,intel,unknown,NO,NO,256,240,NO,NO,other
396,lenovo,607.0,intel,windows,NO,NO,256,256,NO,NO,gray
397,other,416.2,intel,windows,NO,YES,256,480,YES,YES,other
398,other,737.0,intel,unknown,NO,YES,256,240,NO,YES,other
399,samsung,90.06,other,unknown,NO,NO,256,240,NO,NO,other
400,other,64.0,other,unknown,NO,NO,256,240,NO,NO,other
401,other,48.66,other,unknown,NO,NO,256,240,NO,NO,other
402,lg,92.1,other,unknown,NO,NO,256,240,NO,NO,other
403,dell,485.8,intel,windows,NO,NO,256,2,NO,NO,other
404,other,462.0,intel,windows,NO,NO,256,480,NO,NO,other
405,other,377.8,intel,windows,NO,YES,256,120,NO,NO,other
406,lg,112.25,other,unknown,NO,NO,256,240,NO,YES,other
407,other,92.6,other,unknown,NO,NO,256,240,NO,NO,other
