,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY
3976,S3976,14.0,black,1920,1080
3977,S3977,14.0,black,1920,1080
3978,S3978,10.5,silver,1920,1280
3979,S3979,12.3,silver,2736,1824
3980,S3980,14.0,black,1366,768
3981,S3981,14.0,black,1920,1080
3982,S3982,15.6,silver,1366,768
3983,S3983,14.0,other,1920,1080
3984,S3984,11.6,gray,1920,1080
3985,S3985,14.0,green,1920,1080
3986,S3986,14.0,black,1366,768
3987,S3987,14.0,gray,1900,1200
3988,S3988,13.3,black,1920,1080
3989,S3989,14.0,silver,1920,1080
3990,S3990,14.0,black,1920,1080
3991,S3991,15.6,gray,1920,1080
3992,S3992,17.3,silver,1920,1080
3993,S3993,16.0,blue,1920,1200
3994,S3994,14.0,other,1920,1080
3995,S3995,8.43,other,1920,1080
3996,S3996,15.6,black,1920,1080
3997,S3997,13.3,other,1920,1080
3998,S3998,13.3,blue,1920,1080
3999,S3999,12.5,other,1920,1080
4000,S4000,12.5,other,1920,1080
4001,S4001,8.43,other,1920,1080
4002,S4002,14.0,other,1920,1080
4003,S4003,14.0,other,1280,720
4004,S4004,8.43,black,1920,1080
4005,S4005,10.8,other,1920,1080
4006,S4006,15.6,silver,1920,1080
4007,S4007,8.43,other,1920,1080
4008,S4008,15.6,other,1920,1080
4009,S4009,8.43,other,1920,1080
4010,S4010,13.0,other,1920,1080
4011,S4011,13.3,black,1920,1080
4012,S4012,8.43,black,1920,1080
4013,S4013,8.43,black,1920,1080
4014,S4014,8.43,other,1920,1080
4015,S4015,14.0,black,1366,768
4016,S4016,15.6,silver,1920,1080
4017,S4017,8.43,other,1920,1080
4018,S4018,8.43,other,1920,1080
4019,S4019,8.43,other,1920,1080
4020,S4020,14.0,other,1280,720
4021,S4021,8.43,other,1920,1080
4022,S4022,8.43,other,1920,1080
4023,S4023,8.43,other,1920,1080
4024,S4024,8.43,other,1920,1080
4025,S4025,8.43,other,1920,1080
4026,S4026,8.43,other,1920,1080
4027,S4027,14.0,other,1920,1080
4028,S4028,8.43,other,1920,1080
4029,S4029,8.43,other,1920,1080
4030,S4030,8.43,other,1920,1080
4031,S4031,8.43,other,1920,1080
4032,S4032,14.0,other,1920,1080
4033,S4033,8.43,other,1920,1080
4034,S4034,14.0,other,1920,1080
4035,S4035,14.0,other,1280,720
4036,S4036,8.43,other,1920,1080
4037,S4037,8.43,other,1920,1080
4038,S4038,8.43,other,1920,1080
4039,S4039,12.5,other,1920,1080
4040,S4040,8.43,other,1920,1080
4041,S4041,14.0,black,1280,720
4042,S4042,8.43,other,1920,1080
4043,S4043,14.0,other,1920,1080
4044,S4044,8.43,other,1920,1080
4045,S4045,8.43,other,1920,1080
4046,S4046,8.43,other,1920,1080
4047,S4047,8.43,other,1920,1080
4048,S4048,14.0,other,1280,720
4049,S4049,12.5,other,1920,1080
4050,S4050,8.43,black,1920,1080
4051,S4051,8.43,other,1920,1080
4052,S4052,8.43,black,1920,1080
4053,S4053,8.43,other,1920,1080
4054,S4054,8.43,other,1920,1080
4055,S4055,8.43,other,1920,1080
4056,S4056,8.43,other,1920,1080
4057,S4057,14.0,black,1280,720
4058,S4058,14.0,other,1280,720
4059,S4059,13.0,other,1280,720
4060,S4060,8.43,other,1920,1080
4061,S4061,8.43,other,1920,1080
4062,S4062,13.3,other,1280,720
4063,S4063,15.0,other,1920,1080
4064,S4064,14.0,black,1920,1080
4065,S4065,13.3,other,1280,720
4066,S4066,14.0,other,1920,1080
4067,S4067,8.43,other,1920,1080
4068,S4068,8.43,other,1920,1080
4069,S4069,14.0,black,1920,1080
4070,S4070,8.43,other,1920,1080
4071,S4071,8.43,other,1920,1080
4072,S4072,8.43,black,1920,1080
4073,S4073,8.43,black,1920,1080
4074,S4074,17.3,other,1600,900
4075,S4075,8.43,other,1920,1080
4076,S4076,8.43,other,1920,1080
