,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed
3364,383,1280,720,,480,,2.6
3365,249,1366,768,,256,8,1.2
3366,280,1920,1080,256,256,8,1.8
3367,130,1920,1080,,256,8,1.23
3368,389,1920,1080,512,512,16,2.8
3369,490,1920,1080,,512,8,
3370,40,,,16,16,4,1.4
3371,12.5,,,,,,
3372,96.94,,,,128,4,2.4
3373,325.8,1920,1080,,120,,2.8
3374,193.1,,,,,,
3375,465,1920,1080,,480,,2.3
3376,174,,,,,,
3377,1135,,,,2,,
3378,279.2,,,,,,
3379,28.88,,,,,,
3380,45.38,,,,,,
3381,62.28,,,,,,
3382,394.8,1920,1080,,480,,2.8
3383,112.5,,,,,,
3384,472.2,1280,720,,960,,2.6
3385,128.4,,,,,,
3386,410,1920,1080,,480,,1.99
3387,96.44,,,,,,
3388,235.4,,,,,,
3389,421,1920,1080,,120,,2.8
3390,2186,1920,1080,,480,,1.99
3391,348,,,,,,
3392,311.2,,,,,,
3393,324,1280,720,,120,,2.6
3394,396,1920,1080,,240,,2.8
3395,134.5,,,,,,
3396,54.94,,,,,,
3397,11.96,,,,,,
3398,303,1280,720,,120,,2.6
3399,55,1366,768,,,4,1.7
3400,400,1920,1080,,,,1.8
3401,25,1366,768,,16,2,1.7
3402,549,2560,1600,,1,16,
3403,490,1920,1080,,512,8,4.3
3404,303,1280,720,,240,,2.6
3405,85,1366,768,,128,8,2.2
3406,50,,,32,32,4,1.1
3407,329,1920,1080,,256,8,2.4
3408,205,,,512,512,16,
3409,360,,,256,256,8,4.1
3410,627.5,,,,,,
3411,656.5,1920,1080,,960,,2.8
3412,33,1366,768,16,16,4,2.5
3413,184.2,1366,768,500,500,4,2.3
3414,100,,,6,,6,2.6
3415,1617,,,,,,
3416,35,,,16,,2,2
3417,110,,,,,,
3418,140,,,20,,512,2.66
3419,899,2880,1920,16,256,16,4.8
3420,115,1920,1080,32,32,8,2.3
3421,423.5,1280,720,,120,,3
3422,442.8,1920,1080,,240,,2.8
3423,88,1920,1080,,,8,2.4
3424,165,1366,768,,128,8,1.7
3425,219,1920,1080,,256,8,1.7
3426,152.2,,,,,,
3427,100,,,250,250,2,2
3428,296.8,1920,1080,8,512,8,4.2
3429,759,1920,1080,512,512,16,4.4
3430,409.2,,,,,,
3431,299,1920,1080,24,1024,24,2.4
3432,700,2560,1600,16,1,16,2.3
3433,50,,,32,32,4,1.6
3434,264,2560,1440,,256,16,2.6
3435,199,1920,1080,,256,16,1.6
3436,249,1920,1080,,512,16,1.9
3437,239,1920,1080,,512,16,1.9
3438,250,1920,1080,1,1,8,2.5
3439,329,1920,1080,,256,16,1.8
3440,60,1366,768,,,12,2.3
3441,120.2,,,,,,
3442,200,2560,1440,512,512,16,2.6
3443,313,,,,,,
3444,16.02,,,,,,
3445,175,1920,1200,128,128,4,2
3446,284,1920,1080,,256,16,2.5
3447,444,1920,1200,,512,16,2.3
3448,434,,,,,,
3449,55,,,,32,4,1.6
3450,439,1920,1080,256,256,8,3
3451,149,1366,768,500,500,8,2.3
3452,160,,,256,256,8,2.3
3453,365,,,,1,32,1.8
3454,106.94,1366,768,500,,4,
3455,529,2880,1800,512,512,8,2.5
3456,239,3840,2160,512,512,16,2.7
3457,203.8,1920,1080,256,256,4,3.2
3458,240,1920,1080,512,512,32,2.3
3459,380,2880,1920,,128,8,1.8
3460,188.5,,,256,256,8,
3461,44,,,16,16,4,
3462,288,,,,512,,2.8
3463,65,1536,2048,32,32,4,
3464,825,1920,1080,,1,16,1.9
3465,800,1920,1080,,1,16,3.1
3466,41,1366,768,,,4,2.48
3467,150,1920,1080,,128,8,1.1
3468,130,1920,1080,256,256,8,2.6
3469,350,3000,2000,256,256,16,1.8
3470,159,,,8,256,8,1.9
3471,65,,,,115,4,1.6
3472,66,1366,768,,,,
3473,155,1920,1280,128,128,4,1.2
3474,90,1366,768,4,32,4,1.1
3475,90,,,128,128,8,2.6
3476,180,2736,1824,,256,8,2.4
3477,200,1920,1080,256,256,16,1.8
3478,95,1366,768,,256,8,2.4
3479,220,1920,1080,512,512,16,1.6
3480,114.94,1920,1080,,,8,1.7
3481,82,1366,768,,256,8,2.4
3482,338.8,1920,1080,,256,8,
3483,205.8,,,,,,
3484,324.5,,,,,,
3485,88.75,,,,,,
3486,203.5,,,,,,
3487,38.06,,,,,,
3488,337.5,,,,,,
3489,65.06,,,,,,
3490,97.7,,,,,,
3491,112.3,,,,,,
3492,410.5,1920,1080,,480,,1.99
3493,331,1280,720,,240,,
3494,348,1280,720,,480,,3
3495,107.2,,,,,,
3496,347.2,,,,,,
3497,92.3,,,,,,
3498,91.75,,,,,,
3499,28.52,,,,,,
3500,8.7,,,,,,
3501,467.5,1280,720,,960,,2.6
3502,281.8,1280,720,,,,3
3503,109,,,,,,
3504,102.9,,,,,,
3505,58.75,,,,,,
3506,178.9,,,,,,
3507,92.06,,,,,,
3508,323.8,1280,720,,240,,2.7
3509,423.5,1280,720,,120,,3
3510,85.94,,,,,,
3511,69.94,,,,,,
3512,7.61,,,,,,
3513,21.94,,,,,,
3514,304.5,,,,,,
3515,330.2,,,,,,
3516,334.8,1280,720,,240,,2.6
3517,68,,,,,,
3518,330,,,,512,16,
3519,300,1920,1080,,,,
3520,107.7,,,,,,
3521,375,,,,,32,
3522,175,1366,768,256,256,16,2.6
3523,1500,,,,256,8,
3524,198,,,,128,4,4.1
3525,160,,,64,64,,
3526,599,1920,1080,256,256,16,2.6
3527,135,,,256,,,2.6
3528,40,,,4,,4,2.3
3529,800,1920,1080,,512,16,2.8
3530,230,,,,,,
3531,60,1366,768,500,,8,2.3
3532,119,,,,256,8,2.4
3533,400.8,1280,720,,240,,3
3534,260,1366,768,,512,16,2.4
3535,70.1,,,,,,
3536,219,1280,800,,16,4,1.8
3537,149,1366,768,64,64,4,1.6
3538,129,1366,768,,180,4,2.4
3539,275.2,,,,,,
3540,320.8,1280,720,,120,,2.6
3541,406.2,1920,1080,,480,,1.99
3542,462.8,1280,720,,960,,2.6
3543,446.2,1920,1080,,960,,2.8
3544,66.44,,,,,,
3545,82.44,,,,,,
3546,154.5,,,,,,
3547,326.2,,,,,,
3548,726.5,1920,1080,,256,,4
3549,336.8,,,,,,
3550,2722,1920,1080,,4,,1.8
3551,6.51,,,,,,
3552,85.2,,,,,,
3553,117.4,,,,,,
3554,21.6,,,,,,
3555,316.5,,,256,256,8,
3556,130.2,,,,,,
3557,32.4,,,,,,
3558,58.5,,,,,,
3559,85.7,,,,,,
3560,419.2,,,,,,
3561,359.8,1280,720,,256,,3
3562,92.56,,,,,,
3563,130.4,,,,,,
3564,90.6,,,,,,
3565,37.8,,,,,,
3566,411.5,,,,,,
3567,320.8,1280,720,,240,,2.7
3568,294.8,,,,,,
3569,120,1366,768,,4,4,1.1
3570,145,1920,1080,,64,8,1.1
3571,425,3072,1920,1,1,40,4.7
3572,290,1366,768,500,,8,3.2
3573,573,1920,1080,,256,12,1.3
3574,29.98,,,,,,
3575,485,2256,1504,,512,16,3
3576,287.5,,,,,,
3577,99,1920,1080,120,120,4,2.5
3578,341.2,,,,,,
3579,410,1920,1080,,,,1.9
3580,59.84,,,,,,
3581,775,1920,1080,,1,16,3.6
3582,70,,,,,,2.5
3583,400,1920,1080,512,512,32,2.5
3584,170.9,1366,768,32,,4,1.1
3585,167.8,3200,1800,,128,8,2.4
3586,980,1920,1080,256,256,16,5.2
3587,190,,,,,,
3588,344.5,,,,,,
3589,69.6,1280,720,,32,2,1.44
3590,789,,,,,8,2.9
3591,368,1920,1080,,512,16,1.7
3592,1409,,,,,,
3593,439,,,512,512,8,
3594,195,1366,768,64,64,4,1.1
3595,367.2,,,,,,
3596,49,,,320,,8,2.5
3597,300,1920,1080,512,512,16,2.8
3598,94.94,1366,768,500,,4,1.87
3599,360,1280,720,,120,,
3600,9.76,,,,,,
3601,396.2,1920,1080,,120,,2.8
3602,61.62,,,,,,
3603,41.7,,,,,,
3604,419.2,,,,,,
3605,2144,1920,1080,,240,,1.99
3606,372.8,1280,720,,480,,
3607,632.5,,,,,,
3608,522.5,1920,1080,,120,,
3609,573,1280,720,,480,,3
3610,299.8,1280,720,,240,,3
3611,58.6,,,,,,
3612,92.2,,,,,,
3613,678.5,,,,,,
3614,139.9,,,,,,
3615,111.44,,,,,,
3616,127.9,,,,,,
3617,135,,,,,,
3618,303.8,,,,,,
3619,571.5,,,,,,
3620,485.8,1920,1080,,240,,2.8
3621,406.2,1920,1080,,480,,1.99
3622,452.5,1280,720,,240,,1.99
3623,747.5,,,,,,
3624,51,,,,,,
3625,422,1280,720,,240,,4
3626,270,1280,720,,120,,3.1
3627,41.6,,,,,,
3628,201.4,,,,,,
3629,95.56,,,,,,
3630,47.38,,,,,,
3631,489.5,,,,,,
3632,94.5,,,,,,
3633,99.7,,,,,,
3634,408.2,,,,,,
3635,21.98,,,,,,
3636,66.8,,,,,,
3637,266.8,,,,,,
3638,124.6,,,,,,
3639,31.33,,,,,,
3640,58.6,,,,,,
3641,380.5,1280,720,,120,,3
3642,331.2,1280,720,,240,,2.6
3643,5.42,,,,,,
3644,71.6,,,,,,
3645,331.2,1280,720,,240,,2.6
3646,326.5,1920,1080,,120,,
3647,41.6,,,,,,
3648,110.5,,,,,,
3649,46.12,,,,,,
3650,339.5,1920,1080,,240,,2.8
3651,38.56,,,,,,
3652,81.4,,,,,,
3653,316.2,1280,720,,240,,2.6
3654,370,,,,,,
3655,91.1,,,,,,
3656,5.42,,,,,,
3657,19.19,,,,,,
3658,78.8,,,,,,
3659,31.45,,,,,,
3660,764.5,,,,,,
3661,348.2,1280,720,,480,,3
3662,404,1280,720,,240,,3
3663,101.5,,,,,,
3664,90.8,,,,,,
3665,289,,,,,,
3666,328.8,,,,,,
3667,320.8,1280,720,,120,,2.6
3668,83.1,,,,,,
3669,15.94,,,,,,
3670,8.68,,,,,,
3671,217,,,,,,
3672,78.25,,,,,,
3673,95.1,,,,,,
3674,91.56,,,,,,
3675,125,,,,,,
3676,228.5,,,,,,
3677,45,1280,800,16,16,4,2.16
3678,23.88,,,,,,
3679,150,,,,,6,1.5
3680,636,,,,,,
3681,285,,,,,,
3682,149,1366,768,128,128,4,1.1
3683,300,1366,768,,256,12,2
3684,470,1920,1080,,240,,2.8
3685,695,1920,1080,,512,16,2.6
3686,94.94,1366,768,500,,4,1.87
3687,10.51,,,,,,
3688,70,,,62,64,4,1.1
3689,36.88,,,,,,
3690,550,1366,768,500,500,4,2.6
3691,99.5,1366,768,32,32,4,1.1
3692,2374,,,,,,
3693,40,1366,768,16,16,2,
3694,318,1920,1080,,240,,3.1
3695,695,,,512,512,32,2.6
3696,120,1366,768,240,240,8,2.5
3697,650,,,,1,16,2.4
3698,37,,,250,,2,2.4
3699,354.2,,,,,,
3700,9.43,,,,,,
3701,630,1920,1200,,256,32,2.5
3702,149.6,1366,768,32,,4,2.1
3703,348.5,,,,,,
3704,353.8,,,,,,
3705,376.2,1280,720,,256,,
3706,44.9,,,,,,
3707,114.44,,,,,,
3708,239.8,1366,768,,512,8,1.6
3709,50.25,,,,,,
3710,463.8,1920,1080,,480,,2.3
3711,7.59,,,,,,
3712,133,,,,,,
3713,360,1920,1080,,960,,1.99
3714,340,,,,,,
3715,323.2,1920,1080,,120,,3.1
3716,336.8,,,,,,
3717,461.8,,,,,,
3718,134.1,,,,,,
3719,433.8,1280,720,,240,,3
3720,603.5,1920,1080,,960,,3
3721,806.5,,,,,,
3722,108.6,,,,,,
3723,127.75,,,,,,
3724,203.6,,,,,,
3725,551,1920,1080,,480,,3
3726,99.44,,,,,,
3727,80.7,,,,,,
3728,460.8,1920,1080,,120,,3
3729,547,,,,,,
3730,5.42,,,,,,
3731,108,,,,256,,2.6
3732,29,1366,768,,16,4,1.1
3733,56,,,,64,4,1.2
3734,125,,,,,,
3735,64.94,,,128,128,2,1.4
3736,550,3840,2160,,512,16,3
3737,90,1366,768,4,32,4,1.1
3738,600,,,512,512,16,2.3
3739,50,1366,768,16,16,4,2.16
3740,46,1366,768,16,16,4,1.6
3741,120,1600,900,,256,16,
3742,110,1920,1080,,256,16,2.6
3743,193,1366,768,128,128,8,2.6
3744,180,,,256,256,16,1.7
3745,100,,,256,256,8,2.5
3746,188,1920,1080,512,512,16,4.2
3747,195,,,,,,
3748,299,1920,1080,512,512,8,2.8
3749,200,1920,1080,512,512,16,2.8
3750,150,1920,1080,64,64,4,1.1
3751,404,,,,256,8,1.6
3752,30,1366,768,,32,4,1.1
3753,159,,,8,256,8,1.9
3754,57,1366,768,16,16,4,2.16
3755,550,1920,1080,256,256,16,2.8
3756,168,,,,2,,1.7
3757,64,,,,,,1.9
3758,124,1920,1280,64,64,64,1.1
3759,130,1366,768,128,128,16,2.6
3760,130,1366,768,320,,8,2.3
3761,300,1920,1200,256,256,,3.2
3762,275,1920,1200,512,512,16,2
3763,225,1920,1080,16,256,16,1.9
3764,80,,,120,,,1.8
3765,405.8,1920,1080,,480,,1.99
3766,44.22,,,,,,
3767,40,,,1,,,
3768,53.75,,,,,,
3769,411,1920,1080,,960,,1.99
3770,97.6,,,,,,
3771,579,1600,900,256,256,8,2.4
3772,192.6,,,,,,
3773,390.8,1920,1080,,480,,2.8
3774,20.61,,,,,,
3775,419.2,,,,,,
3776,95.94,1366,768,,128,4,1.7
3777,97.25,,,,,,
3778,286,1920,1080,256,256,16,1.8
3779,21.7,,,,,,
3780,21.8,,,,,,
3781,101.8,,,,,,
3782,416.8,1920,1080,,120,,2.8
3783,280.8,1280,720,,120,,2.6
3784,120,1920,1080,,256,8,2.6
3785,150.8,,,,,,
3786,300,1366,768,500,,4,2.7
3787,130,1920,1080,,,16,2
3788,92.2,,,,,,
3789,10.85,,,,,,
3790,280.8,1280,720,,240,,2.6
3791,335.8,,,,,,
3792,345.8,1280,720,,240,,2.7
3793,60.75,,,,,,
3794,95,,,4,128,4,
3795,370.2,,,,,,
3796,783,,,,,,
3797,90.56,,,,,,
3798,434.5,1280,720,,240,,3
3799,1772,,,,,,
3800,110.4,,,,,,
