,Brand,Currency,Color,Condition,GPU,Processor,Processor Speed,Processor Speed Unit,Type,OS,Storage Type,Hard Drive Capacity Unit,SSD Capacity Unit,Screen Size (inch),Ram Size Unit
218,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
219,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
220,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
221,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
222,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
223,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
224,other,$,other,Seller refurbished,intel,intel core i5 4th generation,,unknown,other,windows,unknown,unknown,gb,15.6,unknown
225,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
226,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
227,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
228,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
229,lenovo,$,black,Used,intel,intel core i5 6th generation,,unknown,other,windows,unknown,unknown,tb,14,unknown
230,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
231,lenovo,$,other,Used,intel,intel core i3 7th generation,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
232,samsung,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
233,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
234,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
235,dell,$,other,Used,nvidia,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
236,other,$,other,Good - Refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
